,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species
24,4.8,3.4,1.9,0.2,0
68,6.2,2.2,4.5,1.5,1
52,6.9,3.1,4.9,1.5,1
61,5.9,3.0,4.2,1.5,1
63,6.1,2.9,4.7,1.4,1
133,6.3,2.8,5.1,1.5,2
121,5.6,2.8,4.9,2.0,2
139,6.9,3.1,5.4,2.1,2
8,4.4,2.9,1.4,0.2,0
25,5.0,3.0,1.6,0.2,0
128,6.4,2.8,5.6,2.1,2
26,5.0,3.4,1.6,0.4,0
30,4.8,3.1,1.6,0.2,0
96,5.7,2.9,4.2,1.3,1
141,6.9,3.1,5.1,2.3,2
22,4.6,3.6,1.0,0.2,0
144,6.7,3.3,5.7,2.5,2
129,7.2,3.0,5.8,1.6,2
109,7.2,3.6,6.1,2.5,2
140,6.7,3.1,5.6,2.4,2
50,7.0,3.2,4.7,1.4,1
37,4.9,3.6,1.4,0.1,0
142,5.8,2.7,5.1,1.9,2
79,5.7,2.6,3.5,1.0,1
20,5.4,3.4,1.7,0.2,0
134,6.1,2.6,5.6,1.4,2
71,6.1,2.8,4.0,1.3,1
101,5.8,2.7,5.1,1.9,2
76,6.8,2.8,4.8,1.4,1
149,5.9,3.0,5.1,1.8,2
